00-governance|00-001|pin-primary-target|test/reference/target.test.ts|src/reference/target.ts
00-governance|00-002|record-reference-hashes|test/reference/hash-manifest.test.ts|reference/manifests/file-hashes.json
00-governance|00-003|create-source-catalog|test/reference/source-catalog.test.ts|reference/manifests/source-catalog.json
00-governance|00-004|create-package-capability-matrix|test/reference/package-capability-matrix.test.ts|reference/manifests/package-capability-matrix.json
00-governance|00-005|define-oracle-schemas|test/oracles/oracle-schema.test.ts|src/oracles/schema.ts
00-governance|00-006|lock-asset-and-license-boundaries|test/reference/license-boundary.test.ts|src/reference/policy.ts
01-reference-inventory|01-001|parse-wad-header-and-directory|test/wad/header-directory.test.ts|src/wad/header.ts;src/wad/directory.ts
01-reference-inventory|01-002|record-map-and-lump-inventory|test/reference/wad-map-summary.test.ts|reference/manifests/wad-map-summary.json
01-reference-inventory|01-003|record-demo-lump-metadata|test/reference/demo-lump-summary.test.ts|reference/manifests/demo-lump-summary.json
01-reference-inventory|01-004|record-config-variable-summary|test/reference/config-summary.test.ts|reference/manifests/config-variable-summary.json
01-reference-inventory|01-005|record-vanilla-limit-summary|test/reference/vanilla-limit-summary.test.ts|reference/manifests/vanilla-limit-summary.json
01-reference-inventory|01-006|record-title-demo-sequence-reference|test/reference/title-sequence.test.ts|reference/manifests/title-sequence.json
01-reference-inventory|01-007|record-render-and-audio-quirk-list|test/reference/quirk-manifest.test.ts|reference/manifests/quirk-manifest.json
01-reference-inventory|01-008|define-later-compatibility-targets|test/reference/compatibility-targets.test.ts|reference/manifests/compatibility-targets.json
02-oracle-foundation|02-001|define-reference-sandbox-copy-policy|test/oracles/reference-sandbox-policy.test.ts|src/oracles/referenceSandbox.ts
02-oracle-foundation|02-002|define-reference-run-manifest|test/oracles/reference-run-manifest.test.ts|src/oracles/referenceRunManifest.ts
02-oracle-foundation|02-003|define-input-script-format|test/oracles/input-script-format.test.ts|src/oracles/inputScript.ts
02-oracle-foundation|02-004|define-state-hash-format|test/oracles/state-hash-format.test.ts|src/oracles/stateHash.ts
02-oracle-foundation|02-005|define-framebuffer-hash-format|test/oracles/framebuffer-hash-format.test.ts|src/oracles/framebufferHash.ts
02-oracle-foundation|02-006|define-audio-hash-format|test/oracles/audio-hash-format.test.ts|src/oracles/audioHash.ts
02-oracle-foundation|02-007|define-music-event-log-format|test/oracles/music-event-log-format.test.ts|src/oracles/musicEventLog.ts
02-oracle-foundation|02-008|prove-window-capture-feasibility|test/oracles/window-capture-feasibility.test.ts|tools/reference/windowCaptureProbe.ts
02-oracle-foundation|02-009|prove-reference-run-isolation|test/oracles/reference-run-isolation.test.ts|tools/reference/isolationProbe.ts
02-oracle-foundation|02-010|define-manual-a-b-gates|test/oracles/manual-gates.test.ts|src/oracles/manualGatePolicy.ts
03-scaffold-and-test-harness|03-001|scaffold-doom-codex-package|test/scaffold/package.test.ts|package.json;tsconfig.json
03-scaffold-and-test-harness|03-002|scaffold-test-layout|test/scaffold/test-layout.test.ts|test/_harness/index.ts
03-scaffold-and-test-harness|03-003|add-golden-file-loader|test/_harness/golden-loader.test.ts|test/_harness/golden.ts
03-scaffold-and-test-harness|03-004|add-temp-sandbox-helper|test/_harness/temp-sandbox.test.ts|test/_harness/tempSandbox.ts
03-scaffold-and-test-harness|03-005|add-binary-buffer-assertions|test/_harness/binary-assert.test.ts|test/_harness/binaryAssert.ts
03-scaffold-and-test-harness|03-006|add-cli-smoke-harness|test/scaffold/cli-smoke.test.ts|test/_harness/cli.ts
